domain,category,job_link,job_title,company,job_family,text_snippet,relevant_skills,tag_present,text_present
Adaptability & Continuous Learning,tag_only,https://www.linkedin.com/jobs/view/financial-analyst-iii-clinical-research-office-at-sutter-health-3801568374,"Financial Analyst III, Clinical Research Office",Sutter Health,Other,"We are so glad you are interested in joining Sutter Health!
Organization
SHSO-Sutter Health System Office-Bay
Position Overview
The Financial Analyst, III-Clinical Research Office will develop and negotiate budgets for industry-sponsored clinical trials. Responsibilities include the review and analysis of clinical trial protocols to ensure appropriate cost and resource allocation for conducting the clinical trial at Sutter Health is fully captured in the budget. The incumbent will ensure appropr",,True,False
Adaptability & Continuous Learning,tag_only,https://uk.linkedin.com/jobs/view/biomedical-scientist-team-manager-at-nhs-blood-and-transplant-3785478640,Biomedical Scientist Team Manager,NHS Blood and Transplant,Other,"Job Summary
The Molecular Diagnostics department provides a range of blood grouping tests using molecular techniques for NHS and international customers. Tests are focused on prediction of fetal blood group using free fetal DNA in maternal plasma, and patient blood group using DNA, where serological tests cannot be performed. The department requires an experienced Biomedical Scientist or Healthcare Scientist (Band 7) Team Manager with specialist knowledge and experience of working in a diagnosti",,True,False
Adaptability & Continuous Learning,tag_only,https://www.linkedin.com/jobs/view/lead-net-developer%C2%A0remote-position-at-avani-tech-solutions-private-limited-3792025849,Lead .Net Developer Remote position,Avani Tech Solutions Private Limited,SWE,"Indotronix is seeking a
Lead .Net Developer
Remote position
Position:
Lead .Net Developer
Location:
Columbus, OH
Duration:
2 Months
Description
Working independently, the Solution Engineer Lead will lead and participate in the design, coding, testing and delivery of software solutions that are consistent with client standards and practices. The developer must lead and function as a member of a team and participate in all phases of the software development life cycle. Possesses an advanced level ",,True,False
Adaptability & Continuous Learning,tag_only,https://www.linkedin.com/jobs/view/client-technical-manager-at-citrusad-3801106658,Client Technical Manager,CitrusAd,Other,"Job Description
Epsilon is known for its expertise in data-driven marketing, customer insights, and technology-driven solutions. Epsilon serves a wide range of clients, including Fortune 500 companies and brands from diverse industries such as retail, finance, telecommunications, healthcare, and more. The company focuses on helping businesses better understand their customers and enhance customer engagement through personalised experiences. In 2019, Epsilon was acquired by Publicis Groupe, a glo",,True,False
Adaptability & Continuous Learning,tag_only,https://www.linkedin.com/jobs/view/principal-data-consultant-at-sourced-group-an-amdocs-company-3794954843,Principal Data Consultant,Sourced Group an Amdocs Company,Other,"Sourced is a global cloud consultancy that helps enterprises make the most of cloud services with a focus on security, governance and compliance. With offices around the globe, we provide professional services for securing, migrating and managing the cloud infrastructure of large enterprise customers. We specialize in configuration management, automation, cloud computing, security and data management for a wide range of industries, including financial services, media, and telecommunications comp",,True,False
Adaptability & Continuous Learning,tag_only,https://uk.linkedin.com/jobs/view/senior-backend-and-cloud-engineer-machine-learning-infrastructure-python-at-scandit-3779585893,Senior Backend and Cloud Engineer - Machine Learning Infrastructure (Python),Scandit,ML/AI,"At Scandit, we are developing smart data capture technology that enables smart devices to capture data from barcodes, IDs, text and objects. Our newest product, ShelfView, is a machine learning-powered platform for retail that enables real time shelf visibility and empowers more intelligent and efficient store operations. With our scalable data capture technology via robots and mobile devices, retailers are on track to save tens of millions in operating expense and in turn generate tens of milli",,True,False
Adaptability & Continuous Learning,tag_only,https://uk.linkedin.com/jobs/view/php-developer-at-digital-waffle-3779520169,PHP Developer,Digital Waffle,SWE,"Are you an experienced Web Developer, with strong PHP and JavaScript skills? If so then we're looking for someone like you to join our creative organisation where you will be working on our two core SaaS based products for our clients. Developments will include whole new modules as well as adding enhancements to existing features.
The role will be based in the Birmingham area, with remote working.
Location: Hybrid - Birmingham area/Home
Salary: £40-£50k
About The Role
Developing high-quality cod",,True,False
Adaptability & Continuous Learning,tag_only,https://www.linkedin.com/jobs/view/senior-system-engineer-at-nesco-resource-3778304390,Senior System Engineer,Nesco Resource,Other,"Where innovation meets infrastructure excellence. We're seeking a Senior Systems Engineer (SSE) to join our dynamic Infrastructure Engineering team. You'll play a pivotal role in designing, building, and maintaining our cutting-edge systems, ensuring they're not just operational but setting benchmarks for reliability, security, and scalability across both on-premise and cloud infrastructures.
Your Role
As an SSE, you'll dive into the heart of technology, collaborating within a nimble, cross-func",,True,False
Adaptability & Continuous Learning,tag_only,https://www.linkedin.com/jobs/view/staff-product-designer-at-patreon-3769565614,Staff Product Designer,Patreon,Product,"Patreon is the best place for creators to build memberships by providing exclusive access to their work and a deeper connection with their communities. We’re building a content and community platform where creators can engage directly with their fans and monetize their creativity, while maintaining full ownership over the work they make and the communities they create.
We’re leaders in the membership space with 250,000+ active creators and over $3.5 billion paid directly to creators on our platf",,True,False
Adaptability & Continuous Learning,tag_only,https://www.linkedin.com/jobs/view/plant-reliability-projects-engineer-at-tueren-inc-3799950838,Plant Reliability & Projects Engineer,"TUEREN, Inc.",Other,"Plant Reliability & Projects Engineer
Dallas, TX
Full time
Maintenance Reliability & Projects Engineer will execute continuous improvements related to reliability and capital excellence efforts resulting in increased uptime and running rates. They are also responsible for the development, strategy, and lead for the implementation of systems that will enhance the efficiency and effectiveness of the manufacturing plant. The actions of the incumbent will enable the reduction of maintenance costs by",,True,False
Adaptability & Continuous Learning,text_only,https://www.linkedin.com/jobs/view/information-security-officer-at-heygen-3787632415,Information Security Officer,HeyGen,Security,"About HeyGen
HeyGen is a cutting-edge AI-powered platform revolutionizing the world of video creation.
Position Summary
We are looking for a seasoned Tech Lead Manager to spearhead our Enterprise Engineering team. This role requires a unique blend of technical expertise, leadership skills, and a deep understanding of enterprise systems. The Tech Lead Manager will be responsible for tackling complex problems related to enterprise features such as Multi-Factor Authentication (MFA), Audit logs, Sin",,False,True
Adaptability & Continuous Learning,text_only,https://www.linkedin.com/jobs/view/interior-architect-designer-at-pursley-dixon-architecture-3803383332,Interior Architect / Designer,Pursley Dixon Architecture,Other,"Pursley Dixon Architecture is an architecture and interior design studio specializing in custom residential work. The Charlotte, North Carolina based firm is seeking an experienced Interior Architect / Designer who will share our passion to build beautiful things.
Primary responsibilities include:
Work directly with Project Architects to source and select interior materials and architectural elements for each project. This includes hardware, appliances, plumbing, flooring, stone, tile, counterto",,False,True
Adaptability & Continuous Learning,text_only,https://www.linkedin.com/jobs/view/back-end-developer-at-talent-software-services-3775698223,Back End Developer,TALENT Software Services,SWE,"Are you an experienced Back End Developer with a desire to excel? If so, then Talent Software Services may have the job for you! Our client is seeking an experienced Back End Developer to work at their company in Richfield, MN.
Position Summary:
We are building a modernization platform to replace our legacy systems. This includes building cloud-native systems that will replace and/or enhance existing systems to a modern and modular system that can are built to scale. This is an opportunity to ta",,False,True
Adaptability & Continuous Learning,text_only,https://uk.linkedin.com/jobs/view/senior-technician-amp-amp-mot-tester-at-auto-skills-uk-3792705147,Senior Technician &amp;amp; MOT Tester,Auto Skills UK,Other,"VEHICLE TECHNICIAN & MOT TESTER
Basic
Salary:
£33,500 + OTE £38,000
Location:
Ipswich
Our client is seeking an experienced Level 3 Qualified MOT Tester and Vehicle Technician to join their friendly busy team. As MOT Tester and Vehicle Technician you must be flexible and hard working to deal with fluctuating work loads.
Responsibilities of an MOT Tester and Vehicle Technician
Flexible approach as Vehicle Technician work needed when MOT Testing is quiet.
Testing tyres, wheel alignment, exhausts, b",,False,True
Adaptability & Continuous Learning,text_only,https://www.linkedin.com/jobs/view/lead-chemical-engineer-simulant-laboratory-at-battelle-3636666277,Lead Chemical Engineer - Simulant Laboratory,Battelle,Other,"Battelle delivers when others can’t. We conduct research and development, manage national laboratories, design and manufacture products and deliver critical services for our clients—whether they are a multi-national corporation, a small start-up or a government agency.
We recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.
Job Summary
We are currently seeking a
Lead Chemical Engineer - Simula",,False,True
Adaptability & Continuous Learning,text_only,https://www.linkedin.com/jobs/view/systems-and-data-analyst-4-at-alten-3661093488,Systems and Data Analyst 4,ALTEN,Data Science,"Systems and Data Analyst 4 (Product Owner)
Max Bill Rate-
$100
Location-
Englewood, CO
(
Hybrid, in office 1 week)
Duration:
12 Months Contract
General Information
The Product Owner (PO) is a member of the Agile Team who is responsible for maximizing the value delivered by the team and ensuring that the Team Backlog is aligned with customer and stakeholder needs. As a member of the extended Product Management function, the PO is the team's primary customer advocate and primary link to business a",,False,True
Adaptability & Continuous Learning,text_only,https://www.linkedin.com/jobs/view/senior-electrical-engineer-i-at-merrick-company-3793558070,Senior Electrical Engineer I,Merrick & Company,Other,"Overview
Job Description
Merrick is seeking an experienced
Senior Electrical Engineer
to serve in a variety of energy markets including power generation, particularly within generation facilities such as coal, combined cycle and simple cycle gas turbines, hydroelectric, wind and solar generation. Other projects will include midstream and downstream oil & gas, and renewable fuels. This is a direct, full time position with Merrick & Company and can be located in our
Tulsa, OK, Greenwood Village, C",,False,True
Adaptability & Continuous Learning,text_only,https://uk.linkedin.com/jobs/view/senior-mechanical-engineer-plant-building-services-at-vantive-inc-3803898826,Senior Mechanical Engineer (Plant & Building Services),Vantive Inc.,Other,"Working within our Facility Engineering team, we are looking to appoint an experienced Senior Mechanical Engineer to deliver professional engineering services across our plant and equipment.
This is an excellent opportunity for you to apply your expertise to deliver engineering solutions during the lifecycle of our facilities and in return receive excellent training and development to help you further your career.
Senior Mechanical Engineer (Plant & Building Services)
Location: Reading/ Basingst",,False,True
Adaptability & Continuous Learning,text_only,https://www.linkedin.com/jobs/view/senior-structural-engineer-at-lochner-3653691645,Senior Structural Engineer,Lochner,Other,"Expectations
Make a difference with your change – lead with ingenuity!
Lochner leads in providing planning, environmental, design, construction engineering and inspection, and right of way services for surface transportation, rail, transit, and aviation clients across the United States. Our civil and structural engineers, planners, environmental specialists, inspectors, and support professionals are devoted to providing valuable professional services that enhance people’s lives through sustainab",,False,True
Adaptability & Continuous Learning,text_only,https://www.linkedin.com/jobs/view/sr-cyber-security-specialist-pr-2634-with-security-clearance-at-clearancejobs-3792473653,Sr. Cyber Security Specialist PR - 2634 with Security Clearance,ClearanceJobs,Security,"P E Systems, Inc. has a great career opportunity for a Sr. Cyber Security Specialist supporting the Simulators division of Agile Combat Support at WPAFB, OH. The ideal candidate will have working knowledge of the Risk Management Framework (RMF) process; information system concepts and principles; control families; media; equipment; equipment configuration; and related software systems, processes and procedures to assess and advise on vulnerability to attack from a variety of sources and procedur",,False,True
Collaboration And Team Dynamics,both,https://www.linkedin.com/jobs/view/mechanical-design-engineer-tesla-bot-at-tesla-3737835244,"Mechanical Design Engineer, Tesla Bot",Tesla,Other,"What To Expect
The Tesla Robotics Team designs and builds humanoid bi-pedal robots (Tesla Bot) to perform tasks that are boring, repetitive, and dangerous for humans. The team joins mechanical, electrical, controls, software, and manufacturing engineering disciplines in a highly collaborative team.
We are seeking talented Mechanical Design Engineers to play a role in building this ambitious vision into reality. There will be an emphasis on creative problem-solving abilities and technical rigor f",,True,True
Collaboration And Team Dynamics,both,https://www.linkedin.com/jobs/view/jde-business-analyst-supply-chain-at-laticrete-international-3775658765,JDE Business Analyst (Supply Chain),LATICRETE International,Other,"Classification:
Salary
Job Description:
Are you looking for a new challenge? Passionate about innovation? Want to work for a company that values integrity, teamwork and loyalty?
At
LATICRETE International
we are driven to be a top ten construction chemical company that still values family, diversity, collaboration and invention. We’ve been in business for over 65 years, family owned/operated for three generations and are available in 100 countries.
In 2017, The Hartford Business Journal named us",,True,True
Collaboration And Team Dynamics,both,https://ca.linkedin.com/jobs/view/lead-engineer-at-npaworldwide-3799989380,Lead Engineer,NPAworldwide,Other,"Job Description:
Lead Engineer
Role Summary:
The Lead Design Engineer plays a critical role in
conceptualizing, designing, and developing finished goods that not only
serve their functional purpose but are also aesthetically pleasing. This
role requires a deep understanding of mechanical and structural
engineering in various materials, combined with expertise in electrical
components and electronics packaging.
The ideal candidate is a self-directed, high-energy individual that can
work to a set ",,True,True
Collaboration And Team Dynamics,both,https://www.linkedin.com/jobs/view/principal-firmware-engineer-onsite-with-security-clearance-at-clearancejobs-3797378361,Principal Firmware Engineer (Onsite) with Security Clearance,ClearanceJobs,Security,"2023-10-02Country
Date Posted:
United States of AmericaLocation:
CA550: Fullerton, CA Bldg 675 1801 West Hughes Drive Building 675, Fullerton, CA, 92834 USAPosition Role Type:
Onsite
Collins Aerospace is looking for an Principal Firmware Engineer. The Secure Information Solutions (SIS) solves problems to protect information. We are broadly engaged across all aspects of information transmission delivering innovative solutions that span space, ground, airborne, shipboard, government, civil, and co",,True,True
Collaboration And Team Dynamics,both,https://www.linkedin.com/jobs/view/salesforce-marketing-developer-at-peterson-technology-partners-3787622397,Salesforce Marketing Developer,Peterson Technology Partners,SWE,"Job Description
We are seeking a highly skilled and experienced Salesforce Marketing Cloud (SFMC) Developer with 3-4 years of work experience to join our dynamic team.
The ideal candidate will be responsible for developing and implementing Salesforce Marketing Cloud solutions, ensuring seamless integration with other systems, and leveraging APIs, ETL processes. Hands on AMPScript, SSJS, Automation Studio, and Journey Builder.
Key Responsibilities & Duties
Design, develop, and maintain Salesforce",,True,True
Collaboration And Team Dynamics,both,https://www.linkedin.com/jobs/view/data-engineer-at-insight-global-3797453561,Data Engineer,Insight Global,Data Science,"Must:
Bachelor's Degree
3+ years of BI/Data Engineering experience
Experience gathering requirements from end users to developer dashboards/reports within PowerBI
1+ years of Azure experience (Databricks, ADF)
D2D:
Insight Global is currently seeking a Data Engineer to support one of their partners within the Wireless Infrastructure space in Boca Raton. This Engineer will be responsible for designing and implementing enterprise BI Solutions utilizing Azure as a Cloud platform (ADF, Databricks, S",,True,True
Collaboration And Team Dynamics,both,https://www.linkedin.com/jobs/view/principal-design-quality-engineer-supervisor-at-cirtec-medical-3787498948,Principal Design Quality Engineer (Supervisor),Cirtec Medical,Other,"This position is eligible for a $5,000 sign on bonus
This is not a remote position
About The Company
More than just another design shop or contract manufacturer, Cirtec offers a uniquely comprehensive range of vertically integrated capabilities. Cirtec specializes in complex, difficult to produce components and devices in today’s most advanced product technologies including, neuromodulation, implantable drug delivery, cardiac rhythm management, ventricular assist and interventional devices and d",,True,True
Collaboration And Team Dynamics,both,https://www.linkedin.com/jobs/view/clinical-laboratory-scientist-i-at-eurofins-3787335270,Clinical Laboratory Scientist I,Eurofins,Other,"Eurofins Scientific is an international life sciences company, providing a unique range of analytical testing services to clients across multiple industries, to make life and our environment safer, healthier and more sustainable. From the food you eat, to the water you drink, to the medicines you rely on, Eurofins laboratories work with the biggest companies in the world to ensure the products they supply are safe, their ingredients are authentic and labelling is accurate.
The Eurofins network o",,True,True
Collaboration And Team Dynamics,both,https://uk.linkedin.com/jobs/view/lead-electrical-engineer-at-energy-jobline-3775017909,Lead Electrical Engineer,Energy Jobline,Other,"Location – United Kingdom (Great Yarmouth, NFK, GB, NR30 3PY Pembroke, Pembrokeshire, GB, SA71 5SS Swindon, Wiltshire, GB, SN5 6PB King's Lynn, NFK, GB, PE34 3RD Didcot, OXF, GB, OX11 7YU Staythorpe, NTT, GB, NG23 5PS Little Barford, CAM, GB, PE19 6YT)
Contract Type – Permanent
Working Hours – Full time
Closing Date – 18 January 2024
Main Purpose of the Role
Permanent position for RWE Generation SE, in the Gas Division, E&O Gas Electrical, based in United Kingdom reporting to the Team Leader UK.",,True,True
Collaboration And Team Dynamics,both,https://www.linkedin.com/jobs/view/virtualization-engineer-at-epic-3517121358,Virtualization Engineer,Epic,Other,"We are looking for a VMware Engineer to join our multi-tenant, industry-leading, hosting team managing an environment of over 6000 hosts and over 65,000 virtual machines. You’ll apply your technical prowess and problem-solving skills to develop and maintain a robust, reliable, high-performance foundation for some of the largest healthcare organizations in the country to access our world-class software. Our multi-tenant, ever-growing environment scales through our code-first, DevOps focused cultu",,True,True
Collaboration And Team Dynamics,tag_only,https://www.linkedin.com/jobs/view/research-associate-histology-at-university-of-louisiana-at-lafayette-3764348872,"Research Associate, Histology",University of Louisiana at Lafayette,Other,"Position Title
: Research Associate, Histology
Department
: 9010|NIRC Administration
Responsibilities
At the New Iberia Research Center, the Research Associate, Histology, will play a pivotal role in our research and diagnostic efforts by performing a wide range of histological sample processing and preparation tasks. This role involves routine and non-routine activities related to histology, including sample access, fixation, grossing, processing, embedding, microtomy, staining, and maintenance",,True,False
Collaboration And Team Dynamics,tag_only,https://ca.linkedin.com/jobs/view/user-experience-engineer-at-soho-square-solutions-3802659739,User Experience Engineer,Soho Square Solutions,Other,"The role we are offering you:
Looking for talented software developers with a focus on User Experience, to be part of a team involved in product design, development, customization, release and integration. The Training Experience department within Global Engineering provides technology solutions (frameworks, applications, tools, content) for use on flight simulators and training devices.
Work closely with UI/Ux Designers as well as developers from other disciplines, to develop instructor station",,True,False
Collaboration And Team Dynamics,tag_only,https://www.linkedin.com/jobs/view/research-analyst-advanced-at-wisconsin-department-of-corrections-3792991551,Research Analyst Advanced,Wisconsin Department of Corrections,Other,"Position Summary
This position performs complex research for the DOC and works with cross-divisional staff to report statistics related to PIOC and client populations, program performance indicators, and policy impact analysis. This position is also responsible for independently designing, conducting and coordinating research and evaluation of department-wide policies, correctional programs, and initiatives. To carry out the responsibilities of the position, the incumbent applies advanced statis",,True,False
Collaboration And Team Dynamics,tag_only,https://uk.linkedin.com/jobs/view/research-associate-in-downstream-separations-carma-fixed-term-fm11214-at-university-of-bath-3772742138,Research Associate in Downstream Separations (CARMA) (Fixed Term) (FM11214),University of Bath,Other,"About The Role
We are seeking a brilliant Research Associate to work at the frontier of research in novel food production methods as part of the EPSRC Sustainable Manufacturing Hub CARMA. This project leads a major effort to transform food production, transitioning to an environmentally, economically, and socially sustainable model in which novel manufacturing systems complement traditional food production. This research could drastically reduce carbon emissions and land use compared with tradit",,True,False
Collaboration And Team Dynamics,tag_only,https://www.linkedin.com/jobs/view/lead-soc-analyst-at-kforce-inc-3802095679,Lead SOC Analyst,Kforce Inc,Other,"Responsibilities
Kforce has a client that is seeking a Lead SOC Analyst in San Antonio, TX. Roles and Responsibilities:
Incident Handling: Lead SOC Analyst will lead efforts in detecting, analyzing, and responding to security incidents
Malware Analysis: Analyze and respond to malware threats
Security Monitoring: Use Security Information and Event Monitoring (SIEM) platforms for log analysis, correlation, and alerting
Countermeasures Implementation: Identify and implement measures to counter thre",,True,False
Collaboration And Team Dynamics,tag_only,https://uk.linkedin.com/jobs/view/cost-planner-residential-developer-at-salter-grange-3798144589,Cost Planner - Residential Developer,Salter Grange,SWE,"Salter Grange is working with one of the UK’s renowned Developers currently seeking a Cost Planner. The Cost Planner will have the opportunity to work in a close-knit team, allowing exposure to a variety of high-profile Residential Schemes across London. The company is renowned for retaining its people and offering further career opportunities.
Responsibilities
Maintain accurate records of assumptions and constraints made during the development of Project Programmes, Schedules, and Logistics Pla",,True,False
Collaboration And Team Dynamics,tag_only,https://www.linkedin.com/jobs/view/civil-designer-at-olsson-3793859747,Civil Designer,Olsson,Other,"Company Description
We are Olsson, a team-based, purpose-driven engineering and design firm. Our solutions improve communities and our people make it possible.
Our most meaningful asset is our people, and we are dedicated to providing an environment where they can continue to learn, grow, and thrive. Our entrepreneurial spirit is what has allowed us — and will continue to allow us — to grow. The result? Inspired people, amazing designs, and projects with purpose.
Job Description
As a Civil Desig",,True,False
Collaboration And Team Dynamics,tag_only,https://www.linkedin.com/jobs/view/soacc-intelligence-analyst-at-bank-of-america-3790222388,SOACC Intelligence Analyst,Bank of America,Other,"Job Description:
At Bank of America, we are guided by a common purpose to help make financial lives better through the power of every connection. Responsible Growth is how we run our company and how we deliver for our clients, teammates, communities and shareholders every day.
One of the keys to driving Responsible Growth is being a great place to work for our teammates around the world. We’re devoted to being a diverse and inclusive workplace for everyone. We hire individuals with a broad range",,True,False
Collaboration And Team Dynamics,tag_only,https://uk.linkedin.com/jobs/view/propulsion-integration-lead-engineer-at-jlr-3805232067,Propulsion Integration Lead Engineer,JLR,Other,"REQ ID: 103666
JOB TITLE: Propulsion Integration Lead Engineer
SALARY: Competitive
POSTING END DATE: 26th January 2024
LOCATION: Gaydon
We’re re-examining our vehicles and what a vehicle means in the emerging world of automation, connectedness, electrification and the shared economy. New ideas, new technology, and new approaches to mobility are our business. Join a team of next generation thinkers.
What To Expect
This role will see you become a key part of the JLR Propulsion team, who together a",,True,False
Collaboration And Team Dynamics,tag_only,https://www.linkedin.com/jobs/view/cable-installation-technician-at-jobs-for-humanity-3796567363,Cable Installation Technician,Jobs for Humanity,Other,"Company Description
Jobs for Humanity is partnering with DISH to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. This position is open to candidates who reside in and have the legal right to work in the country where the job is located",,True,False
Collaboration And Team Dynamics,text_only,https://www.linkedin.com/jobs/view/sr-software-engineer-full-stack-web3-engineering-at-experfy-3646114325,SR. Software Engineer FULL STACK WEB3 ENGINEERING,Experfy,SWE,"As a Sr. Software Engineer , you will join highly skilled full stack engineers responsible for developing a dapp interoperability platform and backend. You will focus on hosted cloud analytics infrastructure for major blockchains, multichain or cross chain smart contract frameworks, tamperproof blockchain indexing techniques, proprietary zkSNARK-like proofing mechanisms. You will partner with internal and external teams to build and scale dapps on top of our data platform. This team is responsib",,False,True
Collaboration And Team Dynamics,text_only,https://www.linkedin.com/jobs/view/soc-analyst-at-inficare-staffing-3733480737,SOC Analyst,InfiCare Staffing,Other,"Request ID: 38249-1
Duration: 1 year
Location work will be performed: VAO145 - Falls Church - 8111 Gatehouse Road Suite 600
Job Title: SOC Analyst II
Job Description
Job requirements :
Respond to Cyber Security Incidents, provide cyber threat analysis and reporting to support SOC and Program’s situational awareness.
Will actively monitor security threats and risks, provide in-depth incident analysis, evaluate security incidents, and will provide proactive threat research.
Job Description
Monitor",,False,True
Collaboration And Team Dynamics,text_only,https://www.linkedin.com/jobs/view/senior-wastewater-engineer-at-hdr-3684126091,Senior Wastewater Engineer,HDR,Other,"About Us
At HDR, we specialize in engineering, architecture, environmental and construction services. While we are most well-known for adding beauty and structure to communities through high-performance buildings and smart infrastructure, we provide much more than that. We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists. That's why we believe diversity is our greatest strength. HDR is proud to be",,False,True
