linkedin_skill,domain,notes,confidence,version
guide,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
influence,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
leadership,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
leading,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
manage,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
management,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
mentor,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
mentoring,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
motivate,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
people management,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
people-management,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
peoplemanagement,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
supervise,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
supervision,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
team building,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
team player,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
team-building,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
team-player,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
teambuilding,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
teamplayer,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
teamwork,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
working with others,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
working-with-others,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
workingwithothers,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
articulate,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
client communication,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
client-communication,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
clientcommunication,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
communication,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
communication skills,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
communication-skills,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
communicationskills,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
express,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
interpersonal,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
interpersonal communication,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
interpersonal-communication,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
interpersonalcommunication,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
listening,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
presentation,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
public speaking,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
public-speaking,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
publicspeaking,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
stakeholder management,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
stakeholder-management,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
stakeholdermanagement,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
verbal,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
verbal communication,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
verbal-communication,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
verbalcommunication,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
written,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
written communication,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
written-communication,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
writtencommunication,Communication,Lexicon v2 - refined from tag-only analysis,high,v2
creative,Creativity,Lexicon v2 - refined from tag-only analysis,high,v2
creativity,Creativity,Lexicon v2 - refined from tag-only analysis,high,v2
ideation,Creativity,Lexicon v2 - refined from tag-only analysis,high,v2
imagination,Creativity,Lexicon v2 - refined from tag-only analysis,high,v2
innovate,Creativity,Lexicon v2 - refined from tag-only analysis,high,v2
innovation,Creativity,Lexicon v2 - refined from tag-only analysis,high,v2
innovative,Creativity,Lexicon v2 - refined from tag-only analysis,high,v2
original thinking,Creativity,Lexicon v2 - refined from tag-only analysis,high,v2
original-thinking,Creativity,Lexicon v2 - refined from tag-only analysis,high,v2
originalthinking,Creativity,Lexicon v2 - refined from tag-only analysis,high,v2
think outside the box,Creativity,Lexicon v2 - refined from tag-only analysis,high,v2
think-outside-the-box,Creativity,Lexicon v2 - refined from tag-only analysis,high,v2
thinkoutsidethebox,Creativity,Lexicon v2 - refined from tag-only analysis,high,v2
conflict resolution,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
conflict-resolution,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
conflictresolution,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
diplomacy,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
emotional intelligence,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
emotional-intelligence,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
empathetic,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
empathy,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
interpersonal skills,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
interpersonal-skills,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
interpersonalskills,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
people skills,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
people-skills,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
peopleskills,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
relationship building,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
relationship-building,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
relationshipbuilding,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
self awareness,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
self-awareness,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
selfawareness,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
social skills,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
social-skills,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
socialskills,Emotional Intelligence,Lexicon v2 - refined from tag-only analysis,high,v2
analysis,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
analytical,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
analytical thinking,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
analytical-thinking,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
analyticalthinking,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
critical thinking,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
critical-thinking,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
criticalthinking,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
debugging,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
decision making,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
decision-making,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
judgment,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
problem solving,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
problem-solving,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
reasoning,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
resolve,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
solution,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
solve problems,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
solve-problems,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
solveproblems,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
troubleshooting,Problem-solving,Lexicon v2 - refined from tag-only analysis,high,v2
deadline,Time Management,Lexicon v2 - refined from tag-only analysis,high,v2
efficiency,Time Management,Lexicon v2 - refined from tag-only analysis,high,v2
efficient,Time Management,Lexicon v2 - refined from tag-only analysis,high,v2
multitask,Time Management,Lexicon v2 - refined from tag-only analysis,high,v2
organization,Time Management,Lexicon v2 - refined from tag-only analysis,high,v2
organizational,Time Management,Lexicon v2 - refined from tag-only analysis,high,v2
planning,Time Management,Lexicon v2 - refined from tag-only analysis,high,v2
prioritization,Time Management,Lexicon v2 - refined from tag-only analysis,high,v2
prioritize,Time Management,Lexicon v2 - refined from tag-only analysis,high,v2
task management,Time Management,Lexicon v2 - refined from tag-only analysis,high,v2
task-management,Time Management,Lexicon v2 - refined from tag-only analysis,high,v2
taskmanagement,Time Management,Lexicon v2 - refined from tag-only analysis,high,v2
time management,Time Management,Lexicon v2 - refined from tag-only analysis,high,v2
time-management,Time Management,Lexicon v2 - refined from tag-only analysis,high,v2
accountable,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
accuracy,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
accurate,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
attention to detail,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
attention-to-detail,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
commitment,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
dedicated,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
dedication,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
detail oriented,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
detail-oriented,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
diligence,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
diligent,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
hardworking,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
initiative,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
meticulous,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
precision,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
proactive,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
quality,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
quality assurance,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
quality control,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
quality-assurance,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
quality-control,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
qualityassurance,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
qualitycontrol,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
reliability,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
reliable,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
responsibility,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
responsible,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
self motivated,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
self-motivated,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
thorough,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
thoroughness,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
work ethic,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
work-ethic,Work Ethic,Lexicon v2 - refined from tag-only analysis,high,v2
